President of the United States;https://en.wikipedia.org/wiki/President_of_the_United_States;President_of_the_United_States
Monarchy of the United Kingdom;https://en.wikipedia.org/wiki/Monarchy_of_the_United_Kingdom;Monarchy_of_the_United_Kingdom
President of France;https://en.wikipedia.org/wiki/President_of_France;President_of_France
Pope;https://en.wikipedia.org/wiki/Pope;Pope
Chancellor of Germany;https://en.wikipedia.org/wiki/Chancellor_of_Germany;Chancellor_of_Germany
